rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
16,第六感,8.9,631855,1999-08-06,美国,"剧情,悬疑,惊悚","['布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特', '奥莉维亚·威廉姆斯', '唐尼·沃尔伯格', '特拉沃·摩根', '彼得·安东尼·唐伯蒂斯', '格伦·菲茨杰拉德', '米莎·巴顿', '法尔德斯·巴姆']",https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
17,谍影重重3,8.9,467954,2007-11-15,"美国,德国,法国,英国","动作,悬疑,惊悚","['马特·达蒙', '朱丽娅·斯蒂尔斯', '大卫·斯特雷泽恩', '斯科特·格伦', '帕迪·康斯戴恩', '埃德加·拉米雷兹', '阿尔伯特·芬尼', '琼·艾伦', '克里·约翰逊', '丹尼尔·布鲁赫']",https://movie.douban.com/subject/1578507/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
18,绿里奇迹,8.9,385817,1999-12-10,美国,"犯罪,剧情,奇幻,悬疑","['汤姆·汉克斯', '大卫·摩斯', '迈克·克拉克·邓肯', '邦妮·亨特', '詹姆斯·克伦威尔', '迈克尔·杰特', '格雷厄姆·格林', '道格·休切逊', '山姆·洛克威尔', '巴里·佩珀']",https://movie.douban.com/subject/1300374/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
19,十二怒汉（电视版）,9.5,28429,1954-09-20,美国,"剧情,犯罪,悬疑","['罗伯特·卡明斯', '法兰奇·汤恩', '爱德华·阿诺德', '保罗·哈特曼', '约翰·贝尔', '沃尔特·艾贝尔', '乔治·沃斯科维奇', '约瑟夫·史威尼', '巴特·伯恩斯', '诺曼·费尔']",https://movie.douban.com/subject/10583098/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2689773446.jpg
20,追随,8.9,202349,1998-04-24,英国,"犯罪,悬疑,惊悚","['杰里米·西奥伯德', '亚历克斯·霍', '露西·拉塞尔', '约翰·诺兰', '迪克·布拉德塞尔', '吉莉安·艾尔-卡迪', '詹妮弗·安格', '尼古拉斯·卡洛蒂', '达伦·奥曼迪', '盖·格林威']",https://movie.douban.com/subject/1397546/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg
21,洛城机密,8.9,195425,1997-09-19,美国,"剧情,犯罪,悬疑,惊悚","['凯文·史派西', '罗素·克劳', '盖·皮尔斯', '詹姆斯·克伦威尔', '金·贝辛格', '丹尼·德维托', '大卫·斯特雷泽恩', '朗·瑞弗金', '马特·麦考伊', '保罗·吉尔福伊尔']",https://movie.douban.com/subject/1292348/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2920548116.jpg
22,看不见的客人,8.8,1427680,2017-09-15,西班牙,"剧情,犯罪,悬疑,惊悚","['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚', '帕科·图斯', '大卫·塞尔瓦斯', '伊尼戈·加斯特西', '圣·耶拉莫斯', '马内尔·杜维索']",https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
23,电话谋杀案,8.9,157646,1954-05-29,美国,"犯罪,悬疑,惊悚","['雷·米兰德', '格蕾丝·凯利', '罗伯特·卡明斯', '约翰·威廉姆斯', '安东尼·道森', '利奥·布里特', '帕特里克·艾伦', '乔治·利', '罗温·休斯', '盖·唐尔曼']",https://movie.douban.com/subject/1301231/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1205111193.jpg
24,七宗罪,8.8,1053415,1995-09-22,美国,"剧情,犯罪,悬疑,惊悚","['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克', '约翰·卡西尼', '雷格·E·凯蒂', '李·厄米', '理查德·希夫', '约翰·C·麦金雷']",https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
25,哈利·波特与火焰杯,8.8,793968,2005-11-18,"英国,美国","悬疑,奇幻,冒险","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '迈克尔·刚本', '玛吉·史密斯', '汤姆·费尔顿', '蒂莫西·斯波', '罗伯特·帕丁森', '梁佩诗', '大卫·田纳特']",https://movie.douban.com/subject/1309055/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg
